run,method,source_url,optimizer_step,elapsed_gpu_hours,metric,reward_unsmoothed,reward_ema8
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,110,237.17520514551111,weighted,5.299017906188965,5.229197593774521
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,111,240.12441750196444,weighted,5.296525001525879,5.234785496399394
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,112,241.46273881432887,weighted,5.296525001525879,5.239909625699437
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,113,244.40311193482665,weighted,5.327244758605957,5.247158088616861
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,114,245.7328253778489,weighted,5.327244758605957,5.253804958419158
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,115,248.67351129812445,weighted,5.299273490905762,5.257578662776963
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,116,250.02574262164447,weighted,5.299273490905762,5.261039164930929
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,117,252.9708016465689,weighted,5.293807029724121,5.26375876522158
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,118,254.33148582148442,weighted,5.293807029724121,5.266252649684007
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,119,257.2752449276355,weighted,5.2940545082092285,5.268560091532996
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,120,258.60688766144887,weighted,5.2940545082092285,5.270676025037979
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,121,261.55348014264,weighted,5.261778354644775,5.269937554370445
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,122,262.89594603558226,weighted,5.261778354644775,5.269260373782529
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,123,265.8371872804711,weighted,5.250990390777588,5.2677440390624
4dnkgeto,DiffusionART,https://wandb.ai/vanzl3386-chinese-university-of-hong-kong-shenzhen/flow-grpo-algo/runs/4dnkgeto,124,267.1841998631911,weighted,5.250990390777588,5.26635355399319
